aX,aY,aZ
-0.251,-0.995,-0.971
-0.231,-0.936,-0.955
-0.216,-0.904,-0.943
-0.202,-0.823,-0.943
-0.189,-0.752,-0.953
-0.155,-0.711,-0.949
-0.125,-0.653,-0.955
-0.029,-0.804,-0.793
-0.099,-0.57,-0.783
-0.209,-0.428,-0.928
-0.174,-0.51,-1.021
0.028,-0.544,-0.966
0.046,-0.548,-0.979
-0.014,-0.526,-0.993
-0.045,-0.522,-1.03
-0.068,-0.533,-1.037
-0.054,-0.595,-1.065
-0.046,-0.619,-1.05
-0.054,-0.64,-1.036
-0.073,-0.657,-1.052
-0.111,-0.666,-1.046
-0.096,-0.727,-1.046
-0.118,-0.733,-1.056
-0.148,-0.736,-1.057
-0.147,-0.739,-1.066
-0.13,-0.747,-1.071
-0.124,-0.745,-1.118
-0.109,-0.74,-1.139
-0.09,-0.73,-1.148
-0.085,-0.728,-1.175
-0.067,-0.717,-1.184
-0.055,-0.706,-1.194
-0.041,-0.701,-1.199
-0.032,-0.692,-1.2
-0.029,-0.688,-1.194
-0.02,-0.683,-1.19
-0.017,-0.681,-1.181
-0.013,-0.686,-1.182
-0.008,-0.696,-1.174
-0.008,-0.697,-1.173
-0.012,-0.699,-1.165
-0.015,-0.696,-1.173
-0.018,-0.695,-1.176
-0.017,-0.701,-1.169
-0.019,-0.705,-1.17
-0.012,-0.728,-1.166
-0.011,-0.734,-1.158
-0.013,-0.751,-1.151
-0.012,-0.759,-1.139
-0.005,-0.762,-1.134
0.003,-0.768,-1.142
0.009,-0.764,-1.134
-0.006,-0.731,-1.152
-0.005,-0.698,-1.161
0.006,-0.688,-1.165
0.024,-0.676,-1.166
0.035,-0.677,-1.166
0.061,-0.68,-1.166
0.068,-0.683,-1.168
0.105,-0.684,-1.164
0.122,-0.691,-1.167
0.157,-0.695,-1.171
0.202,-0.716,-1.173
0.225,-0.733,-1.18
0.259,-0.744,-1.184
0.273,-0.725,-1.202
0.294,-0.717,-1.213
0.3,-0.701,-1.237
0.316,-0.679,-1.264
0.315,-0.63,-1.28
0.312,-0.599,-1.308
0.3,-0.547,-1.325
0.291,-0.392,-1.347
0.273,-0.469,-1.354
0.256,-0.442,-1.346
0.249,-0.439,-1.367
0.233,-0.402,-1.381
0.211,-0.413,-1.374
0.194,-0.402,-1.172
0.183,-0.338,-1.194
0.071,-0.366,-1.125
0.147,-0.382,-1.167
0.135,-0.355,-1.162
0.064,-0.258,-1.147
0.237,0.355,1.435
0.228,0.342,1.477
